Query,Retrieved_Act,Top Chunk Section,Top Chunk Text,Model Answer,Runtime
can a child work,Employment Act,53 – Prohibition of worst forms of child labour - Prohibition of worst forms of child labour,"(1) Notwithstanding any provision of any written law, no person shall employ a child in any activity which constitutes worst form of child labour. (2) The Cabinet Secretary shall, in consultation with the Board, make regulations declaring any work, activity or contract of service harmful to the health, safety or morals of a child and subsection (1) shall apply to such work, activity or contract of service. [Act No. 19 of 2015, s. 149.]","Under Kenyan law, the employment of children is subject to strict regulations aimed at protecting children's health, safety, and development. A child cannot be employed in any activity that constitutes the worst form of child labour, as prohibited by the Employment Act s. 149(1). Additionally, the Children Act s. 18(1) prohibits the subjecting of a child to child labour, domestic servitude, economic exploitation, or any work that is hazardous, interferes with the child’s education, or is harmful to the child’s health or development. Children between the ages of thirteen and sixteen may be employed in light work, provided it is not harmful to their health or development and does not prejudice their attendance at school or participation in training programmes. This is outlined in the Employment Act s. 56(2). However, this provision is subject to the broader protections under the Children Act, which prioritises the child's best interests. In summary, a child can work only if the work is light, non-hazardous, and does not interfere with their education or development, and only if it complies with the provisions of both the Employment Act and the Children Act.",36222.05
i got an accident at work. what can I do?,Work Injury Benefits Act,22 – Notice of injury or accident by employer to Director - Notice of injury or accident by employer to Director,"(1) Subject to the provisions of this section, an employer shall report an accident to the Director in the prescribed manner within seven days after having received notice of an accident or having learned that an employee has been injured in an accident. (2) For the purposes of this section, an accident includes any injury reported by an employee, to his employer, if the employee when reporting the injury, alleges that it arose out of and in the course of his employment and irrespective of the f","If you got an accident at work, you should take the following steps: 1. **Report the Accident**: Immediately inform your employer about the accident. Under section 22(2), an accident includes any injury reported by an employee to his employer, provided the employee alleges that it arose out of and in the course of his employment. 2. **Notice to the Director**: Your employer is required to report the accident to the Director within seven days of receiving notice of the accident (section 22(1)). If your employer fails to do so, they commit an offence (section 22(4)). 3. **Provide Written or Verbal Notice**: Give a written or verbal notice of the accident to your employer. If it is a fatal accident, a copy of the written notice or a notice of the verbal notice must be sent to the Director within twenty-four hours (section 21). 4. **Conveyance to Hospital**: If the accident necessitates conveyance to a hospital or from a hospital to your residence, the employer must provide the necessary conveyance (section 46(1)). Failure to do so is an offence (section 46(2)). 5. **Right to Compensation**: If the accident occurred while you were temporarily deployed outside Kenya, you may still be entitled to compensation as if the accident had happened in Kenya, provided certain conditions are met (section 11). 6. **Seek Medical Attention**: Ensure you receive appropriate medical attention and keep records of all related documents and communications. If your employer fails to comply with these obligations, you may have a claim for compensation under the Work Injury Benefits Act. You may also report any non-compliance to the relevant authorities.",49914.41
can I divorce?,Marriage Act,66 – Right to petition for separation or divorce - Right to petition for separation or divorce,may refer a matrimonial dispute that arises in a marriage celebrated under Part IV to a conciliatory process agreed between the parties. (5) The proceedings for the dissolution of a marriage celebrated under Part IV may be adjourned for a period not exceeding six months as the court may think fit— (a) for the court to make further enquiries; or (b) for further attempts at reconciliation to be made by the parties to the marriage. (6) A marriage has irretrievably broken down if— (a) a spouse commi,"Under the Marriage Act, you may petition for divorce if your marriage has irretrievably broken down, as outlined in sections 66(6) and 69(1). The Act provides several grounds for divorce, including adultery, cruelty, desertion, exceptional depravity, and an irretrievable breakdown of the marriage. If your marriage was celebrated under Part IV (which likely refers to a civil marriage), you may seek a decree of divorce based on these grounds. If your marriage was celebrated under Part V (customary marriage), you may also seek dissolution on similar grounds, including those recognized under customary law. The court may also refer the matter to a conciliatory process and may adjourn proceedings for reconciliation. If you meet the required conditions, you may proceed with divorce proceedings.",24419.03
what is an adjudicator,Small Claims Court Act,5 – Appointment of an Adjudicator - Appointment of an Adjudicator,(1) The Court shall be presided over by an Adjudicator. (2) A person shall be qualified for appointment as an Adjudicator if that person— (a) is an advocate of the High Court of Kenya; and (b) has at least three years' experience in the legal field.,"An **Adjudicator** is a person appointed to preside over the Small Claims Court. To qualify for appointment, a person must be an advocate of the High Court of Kenya and have at least three years' experience in the legal field (Small Claims Court Act s.5(1) and s.5(2)(a) and (b)). Upon first appointment, the Adjudicator must take an oath or affirmation in accordance with section 40 of the Judicial Service Act (Cap. 8A) (Small Claims Court Act s.7). The Judicial Service Commission, or the Chief Justice, appoints Adjudicators, who may serve on a full-time or part-time basis (Small Claims Court Act s.6(1) and s.6(4)). Adjudicators are responsible for reviewing decisions of the Registrar and performing judicial functions, and they are protected from liability for actions taken in good faith in the lawful performance of their duties (Small Claims Court Act s.45).",29731.16
i got kicked ot by my landlord without notice. is that legal,Distress for Rent Act,21 – Payments by lodger to superior landlord - Payments by lodger to superior landlord,"For the purposes of the recovery of any sums payable by an under-tenant or lodger to a superior landlord under an undertaking referred to in section 19, or under notice served in accordance with section 23, the under-tenant or lodger shall be deemed to be the immediate tenant of the superior landlord, and the sums payable shall be deemed to be rent; but, where the under-tenant or lodger has, in pursuance of any such undertaking or notice, paid any sums to the superior landlord, he may deduct the","The eviction of a tenant without notice is generally not legal under Kenyan law. According to the **Land Act** and **Distress for Rent Act**, a landlord must provide proper notice before evicting a tenant. Specifically: - **Section 75 of the Land Act** requires a lessor to serve a notice of at least thirty days before exercising the right of forfeiture for breach of lease terms. This notice must specify the breach, require remedy, and allow the lessee a reasonable period to address it. If the breach is not capable of remedy, the notice must also require compensation. - **Section 23 of the Distress for Rent Act** outlines the procedure for recovery of rent, which includes serving notice to the tenant. This implies that notice is a prerequisite for any legal action, including eviction. Therefore, being evicted without notice is likely **illegal**, and the tenant may have grounds to challenge the eviction in court. It is advisable to consult a legal professional to explore remedies available under Kenyan law.",31810.42
i just got arrested. waht rights do i have,Constitution of Kenya,49 – Rights of arrested persons - Rights of arrested persons,"(1) An arrested person has the right— (a) to be informed promptly, in a language that the person understands, of— (i) the reason for the arrest; (ii) the right to remain silent; and (iii) the consequences of not remaining silent; (b) to remain silent; (c) to communicate with an advocate, and other persons whose assistance is necessary; (d) not to be compelled to make any confession or admission that could be used in evidence against the person; (e) to be held separately from persons who are serv","As an arrested person in Kenya, you have the following rights under the Constitution of Kenya: 1. **Right to be Informed Promptly**: You have the right to be informed promptly, in a language you understand, of the reason for your arrest, your right to remain silent, and the consequences of not remaining silent (Constitution of Kenya s.49(1)(a)). 2. **Right to Remain Silent**: You have the right to remain silent, and you are not compelled to make any confession or admission that could be used in evidence against you (Constitution of Kenya s.49(1)(d)). 3. **Right to Communicate with an Advocate**: You have the right to communicate with an advocate and other persons whose assistance is necessary (Constitution of Kenya s.49(1)(c)). 4. **Right to Be Held Separately**: You have the right to be held separately from persons who are serving a sentence (Constitution of Kenya s.49(1)(e)). 5. **Right to Be Brought Before a Court**: You must be brought before a court as soon as reasonably possible, but not later than twenty-four hours after being arrested, or the end of the next court day if the twenty-four hours fall outside ordinary court hours (Constitution of Kenya s.49(1)(f)). 6. **Right to Be Charged or Released**: At your first court appearance, you must be charged or informed of the reason for your continued detention, or released (Constitution of Kenya s.49(1)(g)). 7. **Right to Bail**: You have the right to be released on bond or bail, on reasonable conditions, pending a charge or trial, unless there are compelling reasons not to be released (Constitution of Kenya s.49(1)(h)). 8. **Right to Habeas Corpus**: If you are detained or held in custody, you are entitled to petition for an order of habeas corpus (Constitution of Kenya s.51(2)). These rights are subject to any limitations provided for in the Constitution, particularly in relation to the application of the rights of arrested persons (Constitution of Kenya s.49(4)).",64478.45
how does a bill get ascended,Evidence Act,122 – Estoppel of acceptor of a bill of exchange. - Estoppel of acceptor of a bill of exchange.,No acceptor of a bill of exchange shall be permitted to deny that the drawer had authority to draw such bill or to endorse it: Provided that the acceptor of a bill of exchange may deny that the bill was in fact drawn or endorsed by the person by whom it purports to have been drawn or endorsed.,"A bill gets assented to through the following process under the Constitution of Kenya: 1. **Presidential Assent or Referral**: Within fourteen days of receiving a bill, the President may either: - (a) **Assent to the Bill**, or - (b) **Refer the Bill back to Parliament for reconsideration**, noting any reservations. 2. **Reconsideration by Parliament**: - If the President refers the bill back, Parliament may: - (a) **Amend the Bill** in light of the President’s reservations, or (b) **Pass the Bill a second time without amendment**. 3. **Re-submission to the President**: - If Parliament amends the Bill fully accommodating the President’s reservations, the appropriate Speaker shall re-submit it to the President for assent. - If Parliament passes the Bill a second time, either with or without amendment, the appropriate Speaker shall re-submit it to the President within seven days. 4. **Final Assent**: - The President shall within seven days assent to the Bill if it is re-submitted. This process is outlined in **Constitution of Kenya, Article 115 (1) to (6)**.",37846.17
does a song count as evidence,Evidence Act,35 – Admissibility of documentary evidence as to facts in issue. - Admissibility of documentary evidence as to facts in issue.,"(1) In any civil proceedings where direct oral evidence of a fact would be admissible, any statement made by a person in a document and tending to establish that fact shall, on production of the original document, be admissible as evidence of that fact if the following conditions are satisfied, that is to say— (a) if the maker of the statement either— (i) had personal knowledge of the matters dealt with by the statement; or (ii) where the document in question is or forms part of a record purport","A song, in and of itself, does not count as evidence under Kenyan law as outlined in the provided context. The Evidence Act sections referenced deal with documentary evidence, records of evidence, secondary evidence, and photographic evidence. A song, unless it is transcribed, recorded, or documented in a form that meets the criteria for admissible evidence (such as a certified copy, a record of evidence, or a certified photographic representation), does not automatically qualify as evidence. Therefore, based on the given legal context, a song alone is not admissible as evidence.",19454.75
what is a tax write off,Income Tax Act,39 – Set-off of tax - Set-off of tax,"(1) An amount of tax which– (a) has been deducted under sections 35, 36 or 37; (b) has been borne by a trustee, executor or administrator in his capacity as such on an amount paid as income to a beneficiary; or (c) has been paid by a person under section 12A, shall be deemed to have been paid by the person chargeable with that tax and shall be set off for the purposes of collection against the tax charged on that person for the year of income in respect of which it was deducted, and where an ass","A ""tax write-off"" refers to a situation where a taxpayer has paid tax on an amount that is no longer liable to tax, and that tax can be set off against future tax liabilities. In the context of Kenyan law, this is governed by the Income Tax Act s.39(1), which states that an amount of tax which has been deducted under certain sections (such as sections 35, 36, or 37) shall be deemed to have been paid by the person chargeable with that tax and shall be set off for the purposes of collection against the tax charged on that person for the year of income in respect of which it was deducted. This concept is also relevant in the context of Value Added Tax (VAT) where a motor vehicle that has been written off due to accident, fire, or theft may be replaced, and the tax on the replacement vehicle may be payable. Additionally, the Tax Procedures Act s.32 confirms that a tax payable by a person is a debt due to the Government and shall be payable to the Commissioner. In summary, a tax write-off in Kenyan law refers to the process of setting off previously paid tax against future tax liabilities, and in some cases, the tax on replaced assets.",38677.81
what is tax evasion,Tax Procedures Act,85 – Tax avoidance penalty - Tax avoidance penalty,"If the Commissioner has applied a tax avoidance provision in assessing a taxpayer, the taxpayer is liable for a tax avoidance penalty equal to double the amount of the tax that would have been avoided but for the application of the tax avoidance provision.","Tax evasion refers to the illegal act of avoiding the payment of taxes through deliberate actions such as omitting taxable income, claiming false tax reliefs or refunds, making incorrect statements affecting tax liability, preparing or falsifying records, or deliberately defaulting on tax obligations. Under the Tax Procedures Act s.97, any person who engages in such activities commits an offence. Additionally, tax evasion may involve the creation of tax avoidance schemes, which can also constitute an offence under Tax Procedures Act s.92. The law also provides for penalties, including a tax avoidance penalty equal to double the amount of tax avoided (Tax Procedures Act s.85), and in cases of fraud or evasion, the taxpayer may face imprisonment.",22178.81
what is a tax refund,Tax Procedures Act,47 – Offset or refund of overpaid tax - Offset or refund of overpaid tax,"of 2023, s. 60, Act No. 9 of 2025, s. 57) 47A. Refund of tax paid in error (1) Where tax has been paid in error, the Commissioner shall, except as otherwise provided in this Act or the relevant tax law, refund such tax. (2) In processing a refund under subsection (1), the provisions of section 47(1), (2), (3), (4) and (5) shall apply, with the necessary modifications. (3) For the puiposes of this section, “tax paid in error” means any tax paid which the Commissioner is satisfied ought not to hav","A tax refund refers to the process by which a taxpayer is reimbursed for tax that has been paid in error, or in circumstances where the tax was not due. Under Kenyan law, the refund process is governed by several provisions in the Tax Procedures Act and the Value Added Tax Act. A refund may be issued in the following scenarios: 1. **Tax Paid in Error**: If a taxpayer has paid tax that the Commissioner is satisfied ought not to have been paid, the Commissioner shall refund such tax. This is outlined in section 47A of the Tax Procedures Act (Act No. 22 of 2022, s. 43). 2. **Exempt or Zero-Rated Supply**: The Commissioner may refund tax paid in error if the supply was exempt or zero-rated but the exemption or zero rating was not processed within the specified period due to circumstances beyond the taxpayer's control. This is covered under section 47B of the Tax Procedures Act (Act No. 22 of 2022, s. 43). 3. **Bad Debts**: A registered person who has paid tax on a supply and has not received payment from the recipient may apply for a refund after a period of two years from the date of the supply, provided certain conditions are met. This is outlined in section 31 of the Value Added Tax Act. 4. **Excess Input Tax**: If a registered person has an excess of input tax credit over output tax due, the excess may be refunded by the Commissioner, provided the claim is lodged within the stipulated period. This is detailed in section 17 of the Value Added Tax Act. In all cases, the refund must be processed in accordance with the provisions of section 47(5) of the Tax Procedures Act, which outlines the procedures for refunding tax.",54343.87
am i supposed to pay tax if im unemployed,Tax Procedures Act,33 – Extension of time to pay tax - Extension of time to pay tax,"(1) A taxpayer may apply in writing to the Commissioner for an extension of time to pay a tax due under a tax law. (2) When a taxpayer applies for an extension the Commissioner may, if the Commissioner is satisfied that there is reasonable cause— (a) grant the taxpayer an extension of time for payment of the tax; or (b) require the taxpayer to pay the tax in such instalments as the Commissioner may determine. (3) The Commissioner shall notify the taxpayer in writing of the decision regarding the","The obligation to pay tax in Kenya is not contingent upon employment status. Under the Tax Procedures Act, every person who is liable to pay tax, regardless of employment status, is required to pay the tax by the due date. Specifically, **section 95** of the Tax Procedures Act provides that a person commits an offence if they fail to pay tax by the due date. This applies to all taxpayers, including those who are unemployed. If you are unemployed, you may still be liable to pay tax if you are assessed as such under the relevant tax laws, such as the Income Tax Act. The obligation to pay tax arises based on your taxable income, not your employment status. Therefore, you are still required to pay tax if you are assessed as liable, even if you are unemployed.",25928.69
who is supposed to pay tax in kenya,Tax Procedures Act,42 – Power to collect tax from person owing money to a taxpayer - Power to collect tax from person owing money to a taxpayer,"(1) This section applies when a taxpayer or a non-resident person who is subject to tax in Kenya is, or will become liable to pay a tax and— (a) the tax is unpaid tax; or (b) the Commissioner has reasonable grounds to believe that the taxpayer will not pay the tax by the due date for the payment of the tax. (2) The Commissioner may, in respect of the taxpayer or the non-resident person who is subject to tax in Kenya and by notice in writing, require a person (referred to as the ""an agent"")— (a) ","In Kenya, the individuals and entities that are supposed to pay tax are determined by the relevant tax laws, primarily the Income Tax Act and the Tax Procedures Act. Generally, a person is liable to pay tax if they are a resident for the purpose of a tax law, which is defined under the Income Tax Act (Cap. 470). A resident is typically an individual who resides in Kenya or a company that is domiciled in Kenya. Additionally, non-resident persons who carry out activities in Kenya, such as providing services or having a permanent establishment, may also be liable to pay tax. The Tax Procedures Act further outlines the procedures for the collection of tax, including the power of the Commissioner to collect tax from persons owing money to a taxpayer. Therefore, both residents and non-residents who are subject to tax in Kenya are required to pay their taxes as per the provisions of the relevant laws.",28886.55
